strain,time (s)
8.101405098383333e-23,1205951541.9887054
1.0190816198549958e-22,1205951541.9891937
1.2265209606359102e-22,1205951541.989682
1.3964117932926305e-22,1205951541.9901702
1.5223796360647727e-22,1205951541.9906585
1.633110361259906e-22,1205951541.9911468
1.7753747764659493e-22,1205951541.991635
1.9837568035152742e-22,1205951541.9921234
2.2543296713710335e-22,1205951541.9926116
2.5380706588237525e-22,1205951541.9931
2.7593072073215855e-22,1205951541.9935882
2.8506412207228407e-22,1205951541.9940765
2.7863327422227004e-22,1205951541.9945648
2.596370793714359e-22,1205951541.995053
2.353283849152355e-22,1205951541.9955413
2.137805835901106e-22,1205951541.9960296
2.0004253570705777e-22,1205951541.996518
1.9380522371919004e-22,1205951541.9970062
1.897485003634655e-22,1205951541.9974945
1.8039119159033245e-22,1205951541.9979827
1.6001586763519925e-22,1205951541.998471
1.277141037265336e-22,1205951541.9989593
8.805584108879883e-23,1205951541.9994476
4.9080810041338446e-23,1205951541.9999359
1.8632234019336327e-23,1205951542.0004241
8.460791517592868e-25,1205951542.0009124
-5.512484772893973e-24,1205951542.0014007
-6.135954843475497e-24,1205951542.001889
-8.251972611411155e-24,1205951542.0023773
-1.7214989311525136e-23,1205951542.0028656
-3.427952428648283e-23,1205951542.0033538
-5.653400826490486e-23,1205951542.003842
-7.88570767314326e-23,1205951542.0043304
-9.678955957041451e-23,1205951542.0048187
-1.0884952560517237e-22,1205951542.005307
-1.1718541484416378e-22,1205951542.0057952
-1.2633296199286536e-22,1205951542.0062835
-1.4076391677493964e-22,1205951542.0067718
-1.6245868885314985e-22,1205951542.00726
-1.8968713818874017e-22,1205951542.0077484
-2.1759633943312302e-22,1205951542.0082366
-2.403479136410352e-22,1205951542.008725
-2.537974844476271e-22,1205951542.0092132
-2.5741516609199914e-22,1205951542.0097015
-2.544716503038247e-22,1205951542.0101898
-2.5033178028517724e-22,1205951542.010678
-2.496302462900367e-22,1205951542.0111663
-2.53700230104735e-22,1205951542.0116546
-2.595693545573668e-22,1205951542.012143
-2.6111222536173525e-22,1205951542.0126312
-2.5188448726921227e-22,1205951542.0131195
-2.2829641425435876e-22,1205951542.0136077
-1.9157525174318198e-22,1205951542.014096
-1.4753441681616851e-22,1205951542.0145843
-1.0422801476250635e-22,1205951542.0150726
-6.858987493366777e-23,1205951542.0155609
-4.3635754979701854e-23,1205951542.0160491
-2.7517080694795445e-23,1205951542.0165374
-1.480857440482009e-23,1205951542.0170257
6.553069595914077e-25,1205951542.017514
2.2787259155400214e-23,1205951542.0180023
5.1509706050815276e-23,1205951542.0184906
8.303184187127428e-23,1205951542.0189788
1.1189877795960062e-22,1205951542.019467
1.3370923950892057e-22,1205951542.0199554
1.4710747854812885e-22,1205951542.0204437
1.5408955543727995e-22,1205951542.020932
1.5859634677834183e-22,1205951542.0214202
1.6428479868744778e-22,1205951542.0219085
1.7276417532920711e-22,1205951542.0223968
1.832414800521445e-22,1205951542.022885
1.9364618185424637e-22,1205951542.0233734
2.024118241294832e-22,1205951542.0238616
2.0971425399303616e-22,1205951542.02435
2.1733627719108333e-22,1205951542.0248382
2.2721990137099274e-22,1205951542.0253265
2.3962598360867793e-22,1205951542.0258148
2.5211784358072194e-22,1205951542.026303
2.6014094852160365e-22,1205951542.0267913
2.590431852627055e-22,1205951542.0272796
2.465015816563506e-22,1205951542.027768
2.2400110897355506e-22,1205951542.0282562
1.964543788609226e-22,1205951542.0287445
1.7003177088414509e-22,1205951542.0292327
1.4925311871680915e-22,1205951542.029721
1.3483313858361747e-22,1205951542.0302093
1.2342558588655686e-22,1205951542.0306976
1.0944229638834907e-22,1205951542.0311859
8.802733305695629e-23,1205951542.0316741
5.762523491392689e-23,1205951542.0321624
2.0768128693895973e-23,1205951542.0326507
-1.7342968128589066e-23,1205951542.033139
-5.1673040944722987e-23,1205951542.0336273
-8.001479187710084e-23,1205951542.0341156
-1.0396617914074603e-22,1205951542.0346038
-1.2764688635528796e-22,1205951542.035092
-1.5486311225214183e-22,1205951542.0355804
-1.863494497789043e-22,1205951542.0360687
-2.1872575911324208e-22,1205951542.036557
-2.4586786660319523e-22,1205951542.0370452
-2.6202368344788554e-22,1205951542.0375335
-2.649936192713504e-22,1205951542.0380218
-2.5761288090138813e-22,1205951542.03851
-2.466663446051166e-22,1205951542.0389984
-2.3973534611125765e-22,1205951542.0394866
-2.4157144275541735e-22,1205951542.039975
-2.518286120316177e-22,1205951542.0404632
-2.6525606183846187e-22,1205951542.0409515
-2.7417930563248223e-22,1205951542.0414398
-2.719690483736881e-22,1205951542.041928
-2.5578546043102593e-22,1205951542.0424163
-2.2735180696631367e-22,1205951542.0429046
-1.9156889252670004e-22,1205951542.043393
-1.5386903390200725e-22,1205951542.0438812
-1.177728008924011e-22,1205951542.0443695
-8.388267864255835e-23,1205951542.0448577
-5.067957030484018e-23,1205951542.045346
-1.6475080171571515e-23,1205951542.0458343
1.8730443842488158e-23,1205951542.0463226
5.2614891987322423e-23,1205951542.0468109
8.150452626544554e-23,1205951542.0472991
1.0237656230748246e-22,1205951542.0477874
1.1472168169444708e-22,1205951542.0482757
1.211760695608946e-22,1205951542.048764
1.265285508493464e-22,1205951542.0492523
1.355972865149919e-22,1205951542.0497406
1.5105283389864532e-22,1205951542.0502288
1.7225543821433196e-22,1205951542.050717
1.9562648292028901e-22,1205951542.0512054
2.163051633941101e-22,1205951542.0516937
2.3024810277530614e-22,1205951542.052182
2.3578870405225926e-22,1205951542.0526702
2.34008858890403e-22,1205951542.0531585
2.278764908758089e-22,1205951542.0536468
2.2066168257245215e-22,1205951542.054135
2.144200473815221e-22,1205951542.0546234
2.0923129157679368e-22,1205951542.0551116
2.0347356580595434e-22,1205951542.0556
1.9490006737187384e-22,1205951542.0560882
1.819120655614991e-22,1205951542.0565765
1.643697030172743e-22,1205951542.0570648
1.43562249671821e-22,1205951542.057553
1.214184964346071e-22,1205951542.0580413
9.943673476883649e-23,1205951542.0585296
7.794264228660386e-23,1205951542.059018
5.607076734559373e-23,1205951542.0595062
3.243567003713503e-23,1205951542.0599945
6.073117079614584e-24,1205951542.0604827
-2.2883312148830497e-23,1205951542.060971
-5.31284157288265e-23,1205951542.0614593
