strain,time (s)
1.5451562970650888e-19,-0.1646575927734375
1.1712628306353673e-19,-0.1641695499420166
1.0829661204521482e-19,-0.1636810302734375
1.3891742975469482e-19,-0.1631927490234375
2.190045458009823e-19,-0.1627044677734375
1.2526949376298518e-19,-0.1622164249420166
2.0211464516821132e-19,-0.1617281436920166
1.2499381527158917e-19,-0.1612396240234375
1.4688960770088076e-19,-0.1607515811920166
1.900742032702935e-19,-0.1602630615234375
1.0239547046502178e-19,-0.1597747802734375
9.170288374921228e-20,-0.1592864990234375
7.561457480511681e-20,-0.1587982177734375
6.347504052261536e-20,-0.1583101749420166
1.0388322385277697e-19,-0.1578218936920166
1.012240350142541e-19,-0.1573336124420166
5.496196170443145e-21,-0.1568450927734375
-4.7198715026910046e-20,-0.1563568115234375
6.258858993394584e-20,-0.1558685302734375
-1.293083493168092e-19,-0.1553802490234375
-4.987078598800507e-20,-0.1548919677734375
-6.830583531862857e-20,-0.1544039249420166
-7.799037199224641e-20,-0.1539156436920166
-9.929567675036562e-20,-0.1534271240234375
-1.2581956737957043e-19,-0.1529390811920166
-2.4827390425736503e-19,-0.1524505615234375
-8.270657884209527e-20,-0.1519622802734375
-1.382779221421863e-19,-0.1514739990234375
-8.11665595649247e-20,-0.1509857177734375
-1.6787394178269709e-19,-0.1504976749420166
-2.0454632159788045e-19,-0.1500093936920166
-1.1513290325272919e-19,-0.1495211124420166
-1.9392725269217147e-19,-0.1490325927734375
-2.739243448477979e-20,-0.1485443115234375
-9.054188016799601e-20,-0.1480560302734375
-1.2445749355880827e-20,-0.1475677490234375
-9.010111273259309e-20,-0.1470794677734375
-8.598442880915466e-20,-0.1465914249420166
1.6852493566457142e-20,-0.1461031436920166
1.8131893687948837e-21,-0.1456146240234375
-3.5745548859812354e-21,-0.1451265811920166
9.449328058591551e-20,-0.1446380615234375
9.460278516632356e-20,-0.1441497802734375
7.807024398568141e-20,-0.1436614990234375
1.3573653522806683e-19,-0.1431732177734375
1.6612718899379464e-19,-0.1426851749420166
1.8886018137503223e-19,-0.1421966552734375
2.727922516256425e-19,-0.1417086124420166
3.014376327406158e-19,-0.1412200927734375
1.9580264837819536e-19,-0.1407318115234375
2.882494054622428e-19,-0.1402435302734375
1.8773906307552598e-19,-0.1397554874420166
6.931985138507427e-20,-0.1392669677734375
2.174427263833401e-19,-0.1387784481048584
1.7400069600500035e-19,-0.1382906436920166
1.8454651854775284e-19,-0.1378023624420166
2.385852005471051e-20,-0.1373138427734375
1.1762482928081786e-19,-0.1368255615234375
-4.035585527079375e-20,-0.1363375186920166
-5.306117535613046e-20,-0.1358489990234375
1.2728427293410748e-20,-0.1353604793548584
-1.0706832258852778e-19,-0.1348726749420166
-1.8399969146619968e-19,-0.1343843936920166
-8.541045212471775e-20,-0.1338961124420166
-1.1607736718862781e-19,-0.1334075927734375
-9.901539075397596e-20,-0.1329195499420166
-8.505242414443537e-20,-0.1324310302734375
-1.96009626204655e-19,-0.1319427490234375
-1.79210593789516e-19,-0.1314544677734375
-4.764738182055051e-20,-0.1309664249420166
-2.1304347744534346e-19,-0.1304781436920166
-2.75948449955561e-19,-0.1299896240234375
-2.22325383204951e-19,-0.1295015811920166
-1.5964109518205665e-19,-0.1290130615234375
-2.0360232141096532e-19,-0.1285247802734375
-1.6002133341499326e-19,-0.1280364990234375
-1.4601633640433672e-19,-0.1275482177734375
2.3618026355884324e-20,-0.1270601749420166
-9.819176693156494e-20,-0.1265718936920166
6.019977033477887e-20,-0.1260836124420166
3.065704107101229e-20,-0.1255950927734375
-7.618224068408177e-20,-0.1251068115234375
1.1480642641930884e-19,-0.1246185302734375
2.4267548888819868e-20,-0.1241302490234375
3.079314248197844e-20,-0.1236419677734375
8.060913021226663e-20,-0.1231539249420166
1.680649465410339e-19,-0.1226656436920166
1.2306780760495535e-19,-0.1221771240234375
2.346498386500133e-19,-0.1216890811920166
1.6369652301453306e-19,-0.1212005615234375
9.901635951891167e-20,-0.1207122802734375
1.4224632167949918e-19,-0.1202239990234375
2.1080159286815617e-19,-0.1197357177734375
1.7211476751777792e-19,-0.1192476749420166
1.3367225513599578e-19,-0.1187593936920166
5.416982178296585e-20,-0.1182711124420166
2.1274932638288904e-19,-0.1177825927734375
1.4270703961907706e-19,-0.1172943115234375
3.5236888532714894e-20,-0.1168060302734375
5.0316877096639425e-20,-0.1163177490234375
1.9985136434394514e-20,-0.1158294677734375
-2.8953905756329816e-21,-0.1153414249420166
1.0994689465863672e-20,-0.1148531436920166
-5.0094766333800713e-20,-0.1143646240234375
-1.1279487520715082e-19,-0.1138765811920166
-7.926885488935884e-20,-0.1133880615234375
-1.1092955684612709e-19,-0.1128997802734375
-1.0346666171932326e-19,-0.1124114990234375
-1.2616531619232008e-19,-0.1119232177734375
-1.7617454923361755e-19,-0.1114351749420166
-1.9875113877844952e-19,-0.1109466552734375
-1.4655476764607407e-19,-0.1104586124420166
-7.023066245134549e-20,-0.1099700927734375
-1.427041102027266e-19,-0.1094818115234375
-1.969664094168162e-19,-0.1089935302734375
-2.003449627315272e-19,-0.1085054874420166
-5.14280352473146e-20,-0.1080169677734375
-1.5996162907502035e-19,-0.1075284481048584
-1.458567661148172e-19,-0.1070406436920166
-7.101662589457391e-20,-0.1065523624420166
-8.809699675799208e-20,-0.1060638427734375
-3.351433205850479e-20,-0.1055755615234375
1.3972923897091189e-19,-0.1050875186920166
9.829463194759823e-20,-0.1045989990234375
1.0695579421531248e-19,-0.1041104793548584
7.998750928500668e-20,-0.1036226749420166
1.3925998094499409e-19,-0.1031343936920166
2.324809570525276e-19,-0.1026461124420166
1.1173359031732381e-19,-0.1021575927734375
2.3057159204247735e-19,-0.1016695499420166
2.053237319581417e-19,-0.1011810302734375
1.9781340172444141e-19,-0.1006927490234375
1.436629463699073e-19,-0.1002044677734375
1.5234412523250576e-19,-0.0997164249420166
2.08328546675303e-19,-0.0992281436920166
8.732105264742333e-20,-0.0987396240234375
6.268638031340536e-20,-0.0982515811920166
8.672825350679417e-20,-0.0977630615234375
9.469467807215297e-21,-0.0972747802734375
3.748444982532695e-21,-0.0967864990234375
-7.189094903103328e-20,-0.0962982177734375
-2.6449291694612528e-20,-0.0958101749420166
-6.937336275391596e-20,-0.0953218936920166
-1.0476158704984176e-19,-0.0948336124420166
-2.0614505263461634e-19,-0.0943450927734375
-1.846489003578571e-19,-0.0938568115234375
-2.1730654380372717e-19,-0.0933685302734375
-2.231800393956633e-19,-0.0928802490234375
-1.7889209119328447e-19,-0.0923919677734375
-1.1901787047194995e-19,-0.0919039249420166
-8.248900018397553e-20,-0.0914156436920166
-2.370825855352509e-19,-0.0909271240234375
-1.944727049660885e-19,-0.0904390811920166
-1.83529763224653e-19,-0.0899505615234375
-9.960186910963619e-20,-0.0894622802734375
-1.8571123968762465e-20,-0.0889739990234375
-5.716224616996933e-20,-0.0884857177734375
-9.308382104585517e-20,-0.0879976749420166
1.0291656309271709e-19,-0.0875093936920166
-1.0826832751095525e-20,-0.0870211124420166
8.219975418821314e-20,-0.0865325927734375
5.039858592164499e-20,-0.0860443115234375
1.0292200590316494e-19,-0.0855560302734375
1.6389114770677957e-19,-0.0850677490234375
2.262302942989126e-19,-0.0845794677734375
2.187975456957409e-19,-0.0840914249420166
2.754532214061449e-19,-0.0836031436920166
1.2294718636807422e-19,-0.0831146240234375
1.3624049229311608e-19,-0.0826265811920166
1.813537401775919e-19,-0.0821380615234375
1.432978149981751e-19,-0.0816497802734375
1.9520784894639393e-19,-0.0811614990234375
2.0082194354329733e-19,-0.0806732177734375
2.4005014334980686e-20,-0.0801851749420166
9.530855454602053e-20,-0.0796966552734375
8.079944075813283e-20,-0.0792086124420166
-1.499863816588526e-19,-0.0787200927734375
-7.645122084704903e-20,-0.0782318115234375
-1.5757227396075434e-19,-0.0777435302734375
-1.0986518492705648e-19,-0.0772554874420166
-2.0417020365299627e-19,-0.0767669677734375
-1.321966601319665e-19,-0.0762784481048584
-2.24368132681607e-19,-0.0757906436920166
-2.508027978564983e-19,-0.0753023624420166
-1.6865351827394849e-19,-0.0748138427734375
-2.4980012089562513e-19,-0.0743255615234375
-2.550393608823809e-19,-0.0738375186920166
-1.5932166869451975e-19,-0.0733489990234375
-1.0341119459939466e-19,-0.0728604793548584
-1.0586645286792332e-19,-0.0723726749420166
1.9940298029981916e-20,-0.0718843936920166
-9.476868767364574e-20,-0.0713961124420166
1.0401501017746362e-20,-0.0709075927734375
4.349392675659473e-20,-0.0704195499420166
1.5173236790600532e-19,-0.0699310302734375
9.370762808426438e-20,-0.0694427490234375
2.447652604290362e-19,-0.0689544677734375
1.7096152658621687e-19,-0.0684664249420166
1.3888615305335294e-19,-0.0679781436920166
1.5671079669511208e-19,-0.0674896240234375
1.9257910510014189e-19,-0.0670015811920166
2.966793868425192e-19,-0.0665130615234375
2.6131632098055724e-19,-0.0660247802734375
9.889831069401725e-20,-0.0655364990234375
3.149386203415829e-20,-0.0650482177734375
2.3743905867387846e-19,-0.0645601749420166
1.2699241757944345e-19,-0.0640718936920166
1.3191310049786005e-19,-0.0635836124420166
-2.5415117425529118e-21,-0.0630950927734375
-1.0570882522701543e-19,-0.0626068115234375
-5.626850529849908e-20,-0.0621185302734375
-4.0557889856790707e-20,-0.0616302490234375
-1.2396403680701387e-19,-0.0611419677734375
-1.4051168616241237e-19,-0.0606539249420166
-1.2736534652482239e-19,-0.0601656436920166
-1.7168138118917662e-19,-0.0596771240234375
-1.9169066640879806e-19,-0.0591890811920166
-2.277981611262702e-19,-0.0587005615234375
-2.4850543146390026e-19,-0.0582122802734375
-2.1681220007528036e-19,-0.0577239990234375
-1.384054527235384e-19,-0.0572357177734375
-1.132309712704716e-19,-0.0567476749420166
-3.2917355745562314e-20,-0.0562593936920166
4.3361541745678775e-20,-0.0557711124420166
2.794081641122853e-20,-0.0552825927734375
-7.588007152081159e-20,-0.0547943115234375
2.764374211586255e-20,-0.0543060302734375
1.4470300536721522e-19,-0.0538177490234375
1.688143096912703e-19,-0.0533294677734375
2.411228798101775e-19,-0.0528414249420166
2.3253942488222897e-19,-0.0523531436920166
1.8565003485944863e-19,-0.0518646240234375
2.710296047888966e-19,-0.0513765811920166
2.5929427130576174e-19,-0.0508880615234375
1.6861189483820947e-19,-0.0503997802734375
1.6608848075966844e-19,-0.0499114990234375
3.9353759500790184e-20,-0.0494232177734375
1.2805508530309904e-19,-0.0489351749420166
7.268021242677112e-20,-0.0484466552734375
-4.137691099243794e-20,-0.0479586124420166
-6.337030264979891e-20,-0.0474700927734375
-1.7369133740461307e-19,-0.0469818115234375
-1.2483682896117145e-19,-0.0464935302734375
-1.924828296060286e-19,-0.0460054874420166
-1.2708870232747365e-19,-0.0455169677734375
-2.9203022784821087e-19,-0.0450284481048584
-1.6527528381006314e-19,-0.0445406436920166
-1.9249312607159661e-19,-0.0440523624420166
-1.706822353521316e-19,-0.0435638427734375
-1.2034246508414743e-19,-0.0430755615234375
-2.0602633753705515e-19,-0.0425875186920166
-1.1279063090314764e-19,-0.0420989990234375
-9.564091117882232e-20,-0.0416104793548584
-5.877676941453238e-20,-0.0411226749420166
-3.807421267539464e-20,-0.0406343936920166
1.4681756068821627e-19,-0.0401461124420166
1.1653325433269498e-19,-0.0396575927734375
1.572739699056735e-19,-0.0391695499420166
2.244992198342956e-19,-0.0386810302734375
1.9053732940756368e-19,-0.0381927490234375
2.02903070852623e-19,-0.0377044677734375
2.501476359840886e-19,-0.0372164249420166
1.3429708677143202e-19,-0.0367281436920166
3.3713581613757314e-19,-0.0362396240234375
1.1257812165152116e-19,-0.0357515811920166
1.065431411024532e-19,-0.0352630615234375
3.601536146490302e-20,-0.0347747802734375
-9.334376134120027e-20,-0.0342864990234375
-7.104902938953665e-20,-0.0337982177734375
-8.879871930010402e-20,-0.0333101749420166
-1.8440934061106925e-19,-0.0328218936920166
-1.7913207700809647e-19,-0.0323336124420166
-3.681631164002755e-19,-0.0318450927734375
-1.8754365617186048e-19,-0.0313568115234375
-3.606558066493934e-19,-0.0308685302734375
-2.7750787154575063e-19,-0.0303802490234375
-1.7203277976137076e-19,-0.0298919677734375
-2.2445234352452556e-19,-0.0294039249420166
-1.0734343701786454e-19,-0.0289156436920166
-4.673571474011684e-20,-0.0284271240234375
9.904462500496634e-20,-0.0279390811920166
9.730446020078117e-20,-0.0274505615234375
1.284839051367638e-19,-0.0269622802734375
2.8964364383215646e-19,-0.0264739990234375
1.448264480785793e-19,-0.0259857177734375
3.312964324749833e-19,-0.0254976749420166
2.509452894585675e-19,-0.0250093936920166
2.468016913071563e-19,-0.0245211124420166
1.6812861661917502e-19,-0.0240325927734375
1.7850508647495568e-19,-0.0235443115234375
2.515677383714662e-20,-0.0230560302734375
-5.463938141543497e-20,-0.0225677490234375
-1.4134479540750796e-19,-0.0220794677734375
-1.727804187285314e-19,-0.0215914249420166
-1.4737855821572897e-19,-0.0211031436920166
-2.232930206283337e-19,-0.0206146240234375
-3.075259087708202e-19,-0.0201265811920166
-2.622796339708367e-19,-0.0196380615234375
-2.893232555994858e-19,-0.0191497802734375
-1.9841411032419757e-19,-0.0186614990234375
-1.1850243068728508e-19,-0.0181732177734375
-5.55825976389427e-20,-0.0176851749420166
1.0462780718599437e-19,-0.0171966552734375
9.442032662297742e-20,-0.0167086124420166
2.5248490962687126e-19,-0.0162200927734375
3.492817644255561e-19,-0.0157318115234375
3.2432003076611927e-19,-0.0152435302734375
3.2692486605872045e-19,-0.014755487442016602
2.9758219057028924e-19,-0.0142669677734375
1.651533175157298e-19,-0.013778448104858398
1.0733388696442915e-19,-0.013290643692016602
9.064790813171062e-21,-0.012802362442016602
-6.480700678111713e-20,-0.0123138427734375
-2.0614833806079512e-19,-0.0118255615234375
-2.8915919266644503e-19,-0.011337518692016602
-2.9533228754343198e-19,-0.0108489990234375
-3.223562567691766e-19,-0.010360479354858398
-2.2991322726734845e-19,-0.009872674942016602
-2.058987234700718e-19,-0.009384393692016602
-1.9559311451993674e-20,-0.008896112442016602
1.4532084293830069e-19,-0.0084075927734375
2.5356833746035195e-19,-0.007919549942016602
3.0638707545909435e-19,-0.0074310302734375
3.5938161900372276e-19,-0.0069427490234375
3.1243692829718416e-19,-0.0064544677734375
1.4944630268461896e-19,-0.0059664249420166016
7.271073398910356e-20,-0.0054781436920166016
-2.3972448262797015e-19,-0.0049896240234375
-3.170150005331257e-19,-0.0045015811920166016
-3.7267388286407226e-19,-0.0040130615234375
-2.8539000631852987e-19,-0.0035247802734375
-1.3127932810580474e-19,-0.0030364990234375
2.1559341932565851e-19,-0.0025482177734375
4.990896015602315e-19,-0.0020601749420166016
3.4276958272434856e-19,-0.0015718936920166016
2.1412050383811322e-19,-0.0010836124420166016
-1.3493752787031874e-19,-0.0005950927734375
-3.4701251546895995e-19,-0.0001068115234375
-3.2881759847465313e-19,0.0003814697265625
5.117405817932041e-20,0.0008697509765625
2.9437061227613076e-19,0.0013580322265625
1.2108038161903825e-19,0.0018460750579833984
-1.0603676976367138e-19,0.0023343563079833984
-2.4520014127013117e-19,0.0028228759765625
-2.2295914945043467e-20,0.0033109188079833984
4.985328161172458e-20,0.0037994384765625
2.7014391937220064e-20,0.0042877197265625
-1.006984903566946e-19,0.0047760009765625
-1.1603882285714681e-19,0.0052642822265625
-8.540998907060078e-21,0.0057523250579833984
3.502423273588244e-20,0.0062406063079833984
-1.1414554050332432e-20,0.0067288875579833984
2.306108649170259e-20,0.0072174072265625
-4.894869927215101e-20,0.0077056884765625
-1.881603855383661e-20,0.0081939697265625
-5.941895135073343e-21,0.0086822509765625
-2.8689060506490603e-20,0.0091705322265625
2.9181631491302687e-20,0.009658575057983398
-4.6226020261880054e-20,0.010146856307983398
7.250478765403731e-20,0.0106353759765625
9.717099110622269e-20,0.011123418807983398
