strain,time (s)
-1.9345240468264978e-20,-0.1646575927734375
-4.4364226401134014e-20,-0.1641695499420166
-4.776572209149244e-20,-0.1636810302734375
-4.637995208291255e-20,-0.1631927490234375
-6.529435222989666e-20,-0.1627044677734375
-6.43947941246597e-20,-0.1622164249420166
-6.364858246241898e-20,-0.1617281436920166
-6.772127087206797e-20,-0.1612396240234375
-6.72918052418021e-20,-0.1607515811920166
-6.928898606164888e-20,-0.1602630615234375
-5.98950131910785e-20,-0.1597747802734375
-7.226467376414258e-20,-0.1592864990234375
-4.118286575383028e-20,-0.1587982177734375
-4.187758216095174e-20,-0.1583101749420166
-5.586997815724224e-20,-0.1578218936920166
-6.043020627098759e-20,-0.1573336124420166
-3.9941120073024496e-20,-0.1568450927734375
-3.738024637705332e-20,-0.1563568115234375
-1.0029951681562003e-20,-0.1558685302734375
-2.83639000121519e-20,-0.1553802490234375
-3.184866665511815e-20,-0.1548919677734375
7.906710809271048e-21,-0.1544039249420166
7.145924527840218e-21,-0.1539156436920166
1.994163691499412e-20,-0.1534271240234375
1.713633234714427e-20,-0.1529390811920166
2.3932272555905977e-20,-0.1524505615234375
2.5980507008862102e-20,-0.1519622802734375
2.8823196824576575e-20,-0.1514739990234375
4.091667599260143e-20,-0.1509857177734375
3.821876790111081e-20,-0.1504976749420166
3.8192056333681826e-20,-0.1500093936920166
5.122491276126872e-20,-0.1495211124420166
6.164782771253887e-20,-0.1490325927734375
6.619371068856927e-20,-0.1485443115234375
7.143834146873688e-20,-0.1480560302734375
7.685309262095149e-20,-0.1475677490234375
5.652852061860712e-20,-0.1470794677734375
7.12586137631135e-20,-0.1465914249420166
8.003536269012144e-20,-0.1461031436920166
5.464423481977967e-20,-0.1456146240234375
7.157868281711236e-20,-0.1451265811920166
6.446457682869509e-20,-0.1446380615234375
6.388210842112906e-20,-0.1441497802734375
6.279911088999021e-20,-0.1436614990234375
6.202475737192975e-20,-0.1431732177734375
5.243410194875758e-20,-0.1426851749420166
5.0954844869943466e-20,-0.1421966552734375
1.1125529187736155e-20,-0.1417086124420166
4.680625473467757e-20,-0.1412200927734375
2.2173921633004127e-20,-0.1407318115234375
2.234600380426772e-20,-0.1402435302734375
1.8471505872889514e-20,-0.1397554874420166
2.5272405622100603e-20,-0.1392669677734375
1.5702042042774423e-20,-0.1387784481048584
8.153369723926503e-21,-0.1382906436920166
-6.717220398461985e-21,-0.1378023624420166
-1.0095439683579714e-20,-0.1373138427734375
-1.928345459218342e-20,-0.1368255615234375
-2.4481395691074066e-20,-0.1363375186920166
-4.700661185175756e-20,-0.1358489990234375
-2.7893061199756797e-20,-0.1353604793548584
-6.921083932101617e-20,-0.1348726749420166
-3.97384362988125e-20,-0.1343843936920166
-5.938860165111463e-20,-0.1338961124420166
-5.551426075139673e-20,-0.1334075927734375
-7.840904224565574e-20,-0.1329195499420166
-5.922999463284073e-20,-0.1324310302734375
-7.042191781210228e-20,-0.1319427490234375
-6.593380176050017e-20,-0.1314544677734375
-6.364210608009504e-20,-0.1309664249420166
-8.176781870936517e-20,-0.1304781436920166
-7.698338306343265e-20,-0.1299896240234375
-7.654667521318245e-20,-0.1295015811920166
-5.0022454116264024e-20,-0.1290130615234375
-5.843682969557291e-20,-0.1285247802734375
-6.773887435516611e-20,-0.1280364990234375
-4.1163483225125845e-20,-0.1275482177734375
-6.257701249926793e-20,-0.1270601749420166
-3.8621514626836496e-20,-0.1265718936920166
-2.514286915565904e-20,-0.1260836124420166
-2.868500034699531e-20,-0.1255950927734375
-9.512112077633353e-21,-0.1251068115234375
4.029927907118313e-21,-0.1246185302734375
8.292065620363632e-21,-0.1241302490234375
2.1804700020953273e-20,-0.1236419677734375
3.083210983974399e-20,-0.1231539249420166
