strain,time (s)
-6.16229406986013e-20,-11.94610214
-6.140840873440924e-20,-11.94561385875
-6.113606759849647e-20,-11.9451255775
-6.080616925502473e-20,-11.94463729625
-6.041902047959e-20,-11.944149015
-5.997498205335107e-20,-11.94366073375
-5.947446842441562e-20,-11.9431724525
-5.891794721898159e-20,-11.94268417125
-5.830593876374176e-20,-11.94219589
-5.763901566889029e-20,-11.94170760875
-5.691780229862193e-20,-11.9412193275
-5.614297418976446e-20,-11.94073104625
-5.531525742214793e-20,-11.940242765
-5.443542794129444e-20,-11.93975448375
-5.3504310834057564e-20,-11.9392662025
-5.252277955788415e-20,-11.93877792125
-5.149175512441601e-20,-11.93828964
-5.0412205238191364e-20,-11.93780135875
-4.9285143391248606e-20,-11.9373130775
-4.8111627914476805e-20,-11.93682479625
-4.6892760986598035e-20,-11.936336515
-4.562968760170683e-20,-11.93584823375
-4.4323594496331103e-20,-11.9353599525
-4.297570903718636e-20,-11.93487167125
-4.1587298076752696e-20,-11.93438339
-4.01596667678612e-20,-11.93389510875
-3.8694157331961584e-20,-11.9334068275
-3.7192147798885085e-20,-11.93291854625
-3.565505071320207e-20,-11.932430265
-3.4084311807863663e-20,-11.93194198375
-3.2481408646371e-20,-11.9314537025
-3.084784923474549e-20,-11.93096542125
-2.918517060460222e-20,-11.93047714
-2.749493736865598e-20,-11.92998885875
-2.5778740250015975e-20,-11.9295005775
-2.4038194586650026e-20,-11.92901229625
-2.2274938812422742e-20,-11.928524015
-2.0490632916134726e-20,-11.92803573375
-1.8686956880010764e-20,-11.9275474525
-1.6865609099104573e-20,-11.92705917125
-1.502830478310623e-20,-11.92657089
-1.3176774342054928e-20,-11.92608260875
-1.1312761757475707e-20,-11.9255943275
-9.43802294047224e-21,-11.92510604625
-7.554324078321033e-21,-11.924617765
-5.663439971123068e-21,-11.92412948375
-3.767152360078857e-21,-11.9236412025
-1.8672482489611932e-21,-11.92315292125
3.448177963378903e-23,-11.92266464
1.936245251670768e-21,-11.92217635875
3.8362494911047204e-21,-11.9216880775
5.732703309763702e-21,-11.92119979625
7.623818696091698e-21,-11.920711515
9.507812501159462e-21,-11.92022323375
1.1382908120353322e-20,-11.9197349525
1.3247337169155345e-20,-11.91924667125
1.5099341151434382e-20,-11.91875839
1.6937173118673087e-20,-11.91827010875
1.875909931856498e-20,-11.9177818275
2.056340083142537e-20,-11.91729354625
2.2348375192870196e-20,-11.916805265
2.4112338001230947e-20,-11.91631698375
2.585362450818619e-20,-11.9158287025
2.7570591191107314e-20,-11.91534042125
2.92616173056316e-20,-11.91485214
3.092510641699552e-20,-11.91436385875
3.25594879086794e-20,-11.9138755775
3.4163218466936754e-20,-11.91338729625
3.573478353980351e-20,-11.912899015
3.7272698769206596e-20,-11.91241073375
3.877551139481524e-20,-11.9119224525
4.024180162830668e-20,-11.91143417125
4.167018399674373e-20,-11.91094589
4.30593086539201e-20,-11.91045760875
4.4407862658772235e-20,-11.9099693275
4.571457121802107e-20,-11.90948104625
4.6978198893274433e-20,-11.908992765
4.8197550771478924e-20,-11.90850448375
4.937147359732123e-20,-11.9080162025
5.049885686650303e-20,-11.90752792125
5.157863387885082e-20,-11.90703964
5.260978275025926e-20,-11.90655135875
5.359132738250612e-20,-11.9060630775
5.452233839001532e-20,-11.90557479625
5.540193398268607e-20,-11.905086515
5.622928080394648e-20,-11.90459823375
5.700359472323289e-20,-11.9041099525
5.772414158213817e-20,-11.90362167125
5.839023789351658e-20,-11.90313339
5.900125149287656e-20,-11.90264510875
5.95566021414377e-20,-11.9021568275
6.005576208027398e-20,-11.90166854625
6.049825653501093e-20,-11.901180265
6.088366417059139e-20,-11.90069198375
6.121161749567106e-20,-11.9002037025
6.148180321625319e-20,-11.89971542125
6.169396253821864e-20,-11.89922714
6.184789141845677e-20,-11.89873885875
6.194344076435e-20,-11.8982505775
6.198051658141468e-20,-11.89776229625
6.195908006894881e-20,-11.897274015
6.187914766358677e-20,-11.89678573375
6.174079103071051e-20,-11.8962974525
6.154413700371515e-20,-11.89580917125
6.128936747117706e-20,-11.89532089
6.097671921202109e-20,-11.89483260875
6.060648367883289e-20,-11.8943443275
6.017900672951134e-20,-11.89385604625
5.969468830750493e-20,-11.893367765
5.915398207092447e-20,-11.89287948375
5.855739497087262e-20,-11.8923912025
5.790548677937956e-20,-11.89190292125
5.719886956738068e-20,-11.89141464
5.643820713322028e-20,-11.89092635875
5.562421438221188e-20,-11.8904380775
5.475765665783193e-20,-11.88994979625
5.383934902516957e-20,-11.889461515
5.2870155507300533e-20,-11.88897323375
5.185098827529763e-20,-11.8884849525
5.0782806792634343e-20,-11.88799667125
4.966661691478124e-20,-11.88750839
4.850346994483732e-20,-11.88702010875
4.7294461646080653e-20,-11.8865318275
4.604073121236268e-20,-11.88604354625
4.474346019731129e-20,-11.885555265
4.340387140334668e-20,-11.88506698375
4.2023227731551896e-20,-11.8845787025
4.0602830993478124e-20,-11.88409042125
3.91440206859993e-20,-11.88360214
3.76481727303679e-20,-11.88311385875
3.611669817665565e-20,-11.8826255775
3.455104187479793e-20,-11.88213729625
3.295268111349074e-20,-11.881649015
3.1323124228220985e-20,-11.88116073375
2.966390917973927e-20,-11.8806724525
2.797660210431383e-20,-11.88018417125
2.62627958371297e-20,-11.87969589
2.4524108410224175e-20,-11.87920760875
2.276218152637361e-20,-11.8787193275
2.097867901036875e-20,-11.87823104625
1.9175285239139546e-20,-11.877742765
1.7353703552207588e-20,-11.87725448375
1.5515654643967002e-20,-11.8767662025
1.36628749393088e-20,-11.87627792125
1.1797114954121519e-20,-11.87578964
9.920137642215298e-21,-11.87530135875
8.033716730229995e-21,-11.8748130775
6.1396350420982384e-21,-11.87432479625
4.2396828146465495e-21,-11.873836515
2.3356560059254026e-21,-11.87334823375
4.293545978653464e-22,-11.8728599525
-1.4774191051360194e-21,-11.87237167125
-3.382862180088223e-21,-11.87188339
-5.285172790133612e-21,-11.87139510875
-7.182551888511467e-21,-11.8709068275
-9.07320492014957e-21,-11.87041854625
-1.0955343519274483e-20,-11.869930265
-1.2827187201432488e-20,-11.86944198375
-1.468696504832218e-20,-11.8689537025
-1.6532917383841976e-20,-11.86846542125
-1.8363297439767522e-20,-11.86797714
-2.017637300947993e-20,-11.86748885875
-2.1970428088180215e-20,-11.8670005775
-2.3743764498034213e-20,-11.86651229625
-2.5494703496709832e-20,-11.866024015
-2.7221587367780096e-20,-11.86553573375
-2.892278099148606e-20,-11.8650474525
-3.05966733943682e-20,-11.86455917125
-3.224167927629811e-20,-11.86407089
-3.385624051346008e-20,-11.86358260875
-3.5438827635857656e-20,-11.8630943275
-3.698794127794124e-20,-11.86260604625
-3.850211360098009e-20,-11.862117765
-3.9979909685827806e-20,-11.86162948375
-4.141992889475689e-20,-11.8611412025
-4.2820806201069647e-20,-11.86065292125
-4.418121348521965e-20,-11.86016464
-4.5499860796212235e-20,-11.85967635875
-4.677549757708374e-20,-11.8591880775
-4.80069138532921e-20,-11.85869979625
-4.9192941382888915e-20,-11.858211515
-5.033245476737587e-20,-11.85772323375
-5.142437252218748e-20,-11.8572349525
-5.246765810577963e-20,-11.85674667125
-5.3461320906342103e-20,-11.85625839
-5.440441718519292e-20,-11.85577010875
-5.529605097595384e-20,-11.8552818275
-5.613537493864756e-20,-11.85479354625
-5.692159116789992e-20,-11.854305265
-5.765395195447282e-20,-11.85381698375
-5.833176049939929e-20,-11.8533287025
-5.895437158003486e-20,-11.85284042125
-5.95211921673863e-20,-11.85235214
-6.003168199412396e-20,-11.85186385875
-6.048535407273081e-20,-11.8513755775
-6.088177516328815e-20,-11.85088729625
-6.122056619044602e-20,-11.850399015
-6.150140260917369e-20,-11.84991073375
-6.172401471893437e-20,-11.8494224525
-6.188818792597734e-20,-11.84893417125
-6.199376295348903e-20,-11.84844589
-6.204063599939461e-20,-11.84795760875
-6.202875884165062e-20,-11.8474693275
-6.195813889091952e-20,-11.84698104625
-6.182883919056583e-20,-11.846492765
-6.164097836396474e-20,-11.84600448375
-6.139473050916267e-20,-11.8455162025
-6.109032504097991e-20,-11.84502792125
-6.072804648069536e-20,-11.84453964
